Date,Catégorie,Produit,Région,Ventes,Client,Année,Tendance_saisonnière,Tendance_annuelle
2022-01-01,Electronique,T-shirt,Ouest,6575,27,2022-03-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,T-shirt,Ouest,5413,37,2022-04-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,T-shirt,Ouest,1663,79,2022-05-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,T-shirt,Ouest,8994,32,2022-06-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,T-shirt,Ouest,2495,52,2022-07-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,T-shirt,Ouest,6232,62,2022-08-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,T-shirt,Ouest,7585,52,2022-09-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,T-shirt,Ouest,2291,39,2022-10-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,T-shirt,Ouest,8554,56,2022-11-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,T-shirt,Ouest,1698,2,2022-12-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Canapé,Nord,5737,92,2022-01-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Canapé,Nord,1854,96,2022-02-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Canapé,Nord,8392,1,2022-03-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Canapé,Nord,6249,53,2022-04-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Canapé,Nord,2707,90,2022-05-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Canapé,Nord,6791,70,2022-06-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Canapé,Nord,6535,68,2022-07-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Canapé,Nord,4510,75,2022-08-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Canapé,Nord,5218,17,2022-09-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Canapé,Nord,9958,38,2022-10-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Canapé,Nord,3327,69,2022-11-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Canapé,Nord,3931,98,2022-12-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Canapé,Sud,1197,86,2022-01-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Canapé,Sud,2930,16,2022-02-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Canapé,Sud,9800,73,2022-03-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Canapé,Sud,5282,70,2022-04-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Canapé,Sud,3511,93,2022-05-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Canapé,Sud,1659,59,2022-06-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Canapé,Sud,7546,90,2022-07-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Canapé,Sud,2986,19,2022-08-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Canapé,Sud,3911,71,2022-09-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Canapé,Sud,2843,33,2022-10-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Canapé,Sud,2959,39,2022-11-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Canapé,Sud,3385,1,2022-12-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Canapé,Est,2802,92,2022-01-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Canapé,Est,9120,89,2022-02-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Canapé,Est,6534,94,2022-03-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Canapé,Est,1262,16,2022-04-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Canapé,Est,9815,60,2022-05-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Canapé,Est,3049,1,2022-06-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Canapé,Est,6423,12,2022-07-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Canapé,Est,5548,37,2022-08-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Canapé,Est,8158,9,2022-09-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Canapé,Est,8400,99,2022-10-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Canapé,Est,3255,3,2022-11-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Canapé,Est,5499,24,2022-12-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Canapé,Ouest,7197,33,2022-01-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Canapé,Ouest,2648,72,2022-02-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Canapé,Ouest,6539,38,2022-03-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Canapé,Ouest,5199,84,2022-04-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Canapé,Ouest,9445,99,2022-05-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Canapé,Ouest,3557,89,2022-06-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Canapé,Ouest,1098,25,2022-07-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Canapé,Ouest,3961,82,2022-08-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Canapé,Ouest,3869,35,2022-09-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Canapé,Ouest,1956,41,2022-10-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Canapé,Ouest,9352,68,2022-11-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Canapé,Ouest,7944,14,2022-12-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Peluche,Nord,5911,20,2022-01-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Peluche,Nord,7015,8,2022-02-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Peluche,Nord,2218,17,2022-03-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Peluche,Nord,5735,33,2022-04-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Peluche,Nord,5555,59,2022-05-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Peluche,Nord,9050,86,2022-06-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Peluche,Nord,4446,22,2022-07-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Peluche,Nord,7893,30,2022-08-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Peluche,Nord,4436,51,2022-09-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Peluche,Nord,6895,27,2022-10-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Peluche,Nord,1225,21,2022-11-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Peluche,Nord,5893,97,2022-12-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Peluche,Sud,8022,64,2022-01-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Peluche,Sud,6600,69,2022-02-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Peluche,Sud,8996,48,2022-03-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Peluche,Sud,8683,35,2022-04-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Peluche,Sud,8679,17,2022-05-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Peluche,Sud,8339,92,2022-06-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Peluche,Sud,3205,93,2022-07-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Peluche,Sud,2069,6,2022-08-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Peluche,Sud,2060,24,2022-09-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Peluche,Sud,4420,46,2022-10-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Peluche,Sud,1606,99,2022-11-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Peluche,Sud,1699,97,2022-12-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Peluche,Est,1190,85,2022-01-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Peluche,Est,3975,87,2022-02-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Peluche,Est,2184,67,2022-03-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Peluche,Est,9319,18,2022-04-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Peluche,Est,2816,95,2022-05-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Peluche,Est,7709,58,2022-06-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Peluche,Est,6442,46,2022-07-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Peluche,Est,4863,32,2022-08-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Peluche,Est,5014,86,2022-09-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Peluche,Est,2686,66,2022-10-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Peluche,Est,8806,27,2022-11-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Peluche,Est,2409,90,2022-12-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Peluche,Ouest,1784,33,2022-01-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Peluche,Ouest,8560,43,2022-02-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Peluche,Ouest,8343,39,2022-03-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Peluche,Ouest,6596,42,2022-04-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Peluche,Ouest,3806,26,2022-05-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Peluche,Ouest,6986,50,2022-06-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Peluche,Ouest,9716,60,2022-07-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Peluche,Ouest,6625,7,2022-08-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Peluche,Ouest,8992,36,2022-09-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Peluche,Ouest,5780,20,2022-10-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Peluche,Ouest,3368,8,2022-11-01,5517.98046875,5371.659722222223
2022-01-01,Electronique,Peluche,Ouest,7655,16,2022-12-01,5517.98046875,5371.659722222223
2022-01-01,Mode,Ordinateur,Nord,7002,87,2022-01-01,5517.98046875,5527.355902777777
2022-01-01,Mode,Ordinateur,Nord,6919,87,2022-02-01,5517.98046875,5527.355902777777
2022-01-01,Mode,Ordinateur,Nord,1853,51,2022-03-01,5517.98046875,5527.355902777777
2022-01-01,Mode,Ordinateur,Nord,4769,63,2022-04-01,5517.98046875,5527.355902777777
2022-01-01,Mode,Ordinateur,Nord,2148,22,2022-05-01,5517.98046875,5527.355902777777
2022-01-01,Mode,Ordinateur,Nord,7457,58,2022-06-01,5517.98046875,5527.355902777777
2022-01-01,Mode,Ordinateur,Nord,8509,49,2022-07-01,5517.98046875,5527.355902777777
2022-01-01,Mode,Ordinateur,Nord,5777,70,2022-08-01,5517.98046875,5527.355902777777
2022-01-01,Mode,Ordinateur,Nord,4854,54,2022-09-01,5517.98046875,5527.355902777777
2022-01-01,Mode,Ordinateur,Nord,3491,97,2022-10-01,5517.98046875,5527.355902777777
2022-01-01,Mode,Ordinateur,Nord,4124,60,2022-11-01,5517.98046875,5527.355902777777
2022-01-01,Mode,Ordinateur,Nord,4051,5,2022-12-01,5517.98046875,5527.355902777777
2022-01-01,Mode,Ordinateur,Sud,6222,68,2022-01-01,5517.98046875,5527.355902777777
2022-01-01,Mode,Ordinateur,Sud,5869,96,2022-02-01,5517.98046875,5527.355902777777
2022-01-01,Mode,Ordinateur,Sud,8027,94,2022-03-01,5517.98046875,5527.355902777777
2022-01-01,Mode,Ordinateur,Sud,5142,99,2022-04-01,5517.98046875,5527.355902777777
2022-01-01,Mode,Ordinateur,Sud,7966,40,2022-05-01,5517.98046875,5527.355902777777
2022-01-01,Mode,Ordinateur,Sud,8987,16,2022-06-01,5517.98046875,5527.355902777777
2022-01-01,Mode,Ordinateur,Sud,5465,30,2022-07-01,5517.98046875,5527.355902777777
2022-01-01,Mode,Ordinateur,Sud,5752,63,2022-08-01,5517.98046875,5527.355902777777
2022-01-01,Mode,Ordinateur,Sud,6177,55,2022-09-01,5517.98046875,5527.355902777777
2022-01-01,Mode,Ordinateur,Sud,9932,90,2022-10-01,5517.98046875,5527.355902777777
2022-01-01,Mode,Ordinateur,Sud,9308,62,2022-11-01,5517.98046875,5527.355902777777
2022-01-01,Mode,Ordinateur,Sud,3838,9,2022-12-01,5517.98046875,5527.355902777777
2022-01-01,Mode,Ordinateur,Est,2931,1,2022-01-01,5517.98046875,5527.355902777777
2022-01-01,Mode,Ordinateur,Est,2081,1,2022-02-01,5517.98046875,5527.355902777777
2022-01-01,Mode,Ordinateur,Est,8805,48,2022-03-01,5517.98046875,5527.355902777777
2022-01-01,Mode,Ordinateur,Est,4672,1,2022-04-01,5517.98046875,5527.355902777777
2022-01-01,Mode,Ordinateur,Est,4343,61,2022-05-01,5517.98046875,5527.355902777777
2022-01-01,Mode,Ordinateur,Est,5070,64,2022-06-01,5517.98046875,5527.355902777777
2022-01-01,Mode,Ordinateur,Est,1580,22,2022-07-01,5517.98046875,5527.355902777777
2022-01-01,Mode,Ordinateur,Est,8004,67,2022-08-01,5517.98046875,5527.355902777777
2022-01-01,Mode,Ordinateur,Est,4147,26,2022-09-01,5517.98046875,5527.355902777777
2022-01-01,Mode,Ordinateur,Est,2679,51,2022-10-01,5517.98046875,5527.355902777777
2022-01-01,Mode,Ordinateur,Est,8253,57,2022-11-01,5517.98046875,5527.355902777777
2022-01-01,Mode,Ordinateur,Est,6188,47,2022-12-01,5517.98046875,5527.355902777777
2022-01-01,Mode,Ordinateur,Ouest,3141,62,2022-01-01,5517.98046875,5527.355902777777
2022-01-01,Mode,Ordinateur,Ouest,7617,48,2022-02-01,5517.98046875,5527.355902777777
2022-01-01,Mode,Ordinateur,Ouest,7484,39,2022-03-01,5517.98046875,5527.355902777777
2022-01-01,Mode,Ordinateur,Ouest,8421,94,2022-04-01,5517.98046875,5527.355902777777
2022-01-01,Mode,Ordinateur,Ouest,5452,23,2022-05-01,5517.98046875,5527.355902777777
2022-01-01,Mode,Ordinateur,Ouest,6881,10,2022-06-01,5517.98046875,5527.355902777777
2022-01-01,Mode,Ordinateur,Ouest,3849,52,2022-07-01,5517.98046875,5527.355902777777
2022-01-01,Mode,Ordinateur,Ouest,8390,10,2022-08-01,5517.98046875,5527.355902777777
2022-01-01,Mode,Ordinateur,Ouest,7905,19,2022-09-01,5517.98046875,5527.355902777777
2022-01-01,Mode,Ordinateur,Ouest,3489,96,2022-10-01,5517.98046875,5527.355902777777
2022-01-01,Mode,Ordinateur,Ouest,5611,16,2022-11-01,5517.98046875,5527.355902777777
2022-01-01,Mode,Ordinateur,Ouest,3839,80,2022-12-01,5517.98046875,5527.355902777777
2022-01-01,Mode,T-shirt,Nord,6878,2,2022-01-01,5517.98046875,5527.355902777777
2022-01-01,Mode,T-shirt,Nord,7303,91,2022-02-01,5517.98046875,5527.355902777777
2022-01-01,Mode,T-shirt,Nord,1851,24,2022-03-01,5517.98046875,5527.355902777777
2022-01-01,Mode,T-shirt,Nord,7833,35,2022-04-01,5517.98046875,5527.355902777777
2022-01-01,Mode,T-shirt,Nord,3427,33,2022-05-01,5517.98046875,5527.355902777777
2022-01-01,Mode,T-shirt,Nord,5000,61,2022-06-01,5517.98046875,5527.355902777777
2022-01-01,Mode,T-shirt,Nord,3738,43,2022-07-01,5517.98046875,5527.355902777777
2022-01-01,Mode,T-shirt,Nord,6732,12,2022-08-01,5517.98046875,5527.355902777777
2022-01-01,Mode,T-shirt,Nord,9002,65,2022-09-01,5517.98046875,5527.355902777777
2022-01-01,Mode,T-shirt,Nord,6536,40,2022-10-01,5517.98046875,5527.355902777777
2022-01-01,Mode,T-shirt,Nord,4913,43,2022-11-01,5517.98046875,5527.355902777777
2022-01-01,Mode,T-shirt,Nord,8723,29,2022-12-01,5517.98046875,5527.355902777777
2022-01-01,Mode,T-shirt,Sud,5107,95,2022-01-01,5517.98046875,5527.355902777777
2022-01-01,Mode,T-shirt,Sud,4373,2,2022-02-01,5517.98046875,5527.355902777777
2022-01-01,Mode,T-shirt,Sud,9945,35,2022-03-01,5517.98046875,5527.355902777777
2022-01-01,Mode,T-shirt,Sud,9967,93,2022-04-01,5517.98046875,5527.355902777777
2022-01-01,Mode,T-shirt,Sud,1417,7,2022-05-01,5517.98046875,5527.355902777777
2022-01-01,Mode,T-shirt,Sud,4267,58,2022-06-01,5517.98046875,5527.355902777777
2022-01-01,Mode,T-shirt,Sud,8668,75,2022-07-01,5517.98046875,5527.355902777777
2022-01-01,Mode,T-shirt,Sud,1412,36,2022-08-01,5517.98046875,5527.355902777777
2022-01-01,Mode,T-shirt,Sud,1728,21,2022-09-01,5517.98046875,5527.355902777777
2022-01-01,Mode,T-shirt,Sud,8164,36,2022-10-01,5517.98046875,5527.355902777777
2022-01-01,Mode,T-shirt,Sud,6988,73,2022-11-01,5517.98046875,5527.355902777777
2022-01-01,Mode,T-shirt,Sud,3967,64,2022-12-01,5517.98046875,5527.355902777777
2022-01-01,Mode,T-shirt,Est,3786,49,2022-01-01,5517.98046875,5527.355902777777
2022-01-01,Mode,T-shirt,Est,2122,36,2022-02-01,5517.98046875,5527.355902777777
2022-01-01,Mode,T-shirt,Est,6073,96,2022-03-01,5517.98046875,5527.355902777777
2022-01-01,Mode,T-shirt,Est,7806,62,2022-04-01,5517.98046875,5527.355902777777
2022-01-01,Mode,T-shirt,Est,4440,55,2022-05-01,5517.98046875,5527.355902777777
2022-01-01,Mode,T-shirt,Est,6644,23,2022-06-01,5517.98046875,5527.355902777777
2022-01-01,Mode,T-shirt,Est,3914,30,2022-07-01,5517.98046875,5527.355902777777
2022-01-01,Mode,T-shirt,Est,9787,89,2022-08-01,5517.98046875,5527.355902777777
2022-01-01,Mode,T-shirt,Est,2365,13,2022-09-01,5517.98046875,5527.355902777777
2022-01-01,Mode,T-shirt,Est,1698,19,2022-10-01,5517.98046875,5527.355902777777
2022-01-01,Mode,T-shirt,Est,1395,61,2022-11-01,5517.98046875,5527.355902777777
2022-01-01,Mode,T-shirt,Est,8400,19,2022-12-01,5517.98046875,5527.355902777777
2022-01-01,Mode,T-shirt,Ouest,5171,9,2022-01-01,5517.98046875,5527.355902777777
2022-01-01,Mode,T-shirt,Ouest,3502,28,2022-02-01,5517.98046875,5527.355902777777
2022-01-01,Mode,T-shirt,Ouest,1717,95,2022-03-01,5517.98046875,5527.355902777777
2022-01-01,Mode,T-shirt,Ouest,5946,16,2022-04-01,5517.98046875,5527.355902777777
2022-01-01,Mode,T-shirt,Ouest,5980,69,2022-05-01,5517.98046875,5527.355902777777
2022-01-01,Mode,T-shirt,Ouest,8266,12,2022-06-01,5517.98046875,5527.355902777777
2022-01-01,Mode,T-shirt,Ouest,8192,52,2022-07-01,5517.98046875,5527.355902777777
2022-01-01,Mode,T-shirt,Ouest,6588,53,2022-08-01,5517.98046875,5527.355902777777
2022-01-01,Mode,T-shirt,Ouest,2167,57,2022-09-01,5517.98046875,5527.355902777777
